dependency,head_number,Plausibility,sentence_pair,Sentence,Word,SUBTLWF,LgSUBTLWF,PMI_crit,Cosine_crit,Attention_Strength,Lure_word,Lure_SUBTLWF,Lure_LgSUBTLWF,PMI_lure,Cosine_lure,Lure_attention_strength,baseline_attn,Baseline attn: from the attn directing lure ('girl') to the baseline word 'the',,,,,Head 6-9,Head 3-11,Head 6-10,H 4-6,H8-11,H5-3,H7-3,,H4-5,H7-10,H3-10,H3-9,H5-7,,,Lure 6-9,L3-11,L6-10,L4-6,L8-11,L5-3,L7-3,,L4-5,L7-10,L3-10,L3-9,L5-7
dobj,3_11,Plausible,item41,The server handed the customer the coffee.,coffee,144.53,3.868,-5.221402168,0.09830121,0.3459,customer,15.2,2.89,-2.908742309,0.17306414,0.4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Plausible,item42,The doctor suggested the client a diet.,diet,15.37,2.895,-0.992711961,0.20828924,0.2108,client,53.24,3.434,-3.564224362,0.17060752,0.4121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Plausible,item43,The ranger tossed the group some snacks.,snacks,3.39,2.24,0.365188435,0.32435638,0.1379,group,73.76,3.575,-6.333028316,0.06468861,0.6355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Plausible,item44,The winner delivered the audience the speech.,speech,38.04,3.288,3.538706303,0.4886988,0.0768,audience,25.37,3.112,-0.88917695,0.31153157,0.4569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Plausible,item45,The bank transferred the man some money.,money,640.76,4.514,-2.710824251,0.23216155,0.2315,man,1845.75,4.974,-4.057447076,0.13797435,0.4405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Plausible,item46,The farmer fed the cows some grain.,grain,4.76,2.387,0.554962307,0.28485283,0.1057,cows,9.41,2.682,1.199670613,0.28357756,0.3688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Plausible,item47,The player threw the audience a ball.,ball,104.96,3.729,5.453100443,0.39869812,0.2103,audience,25.37,3.112,-3.03658402,0.22474296,0.6327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Plausible,item48,The father won his son a prize.,prize,22.39,3.058,2.944482803,0.3990231,0.0792,son,410.76,4.321,-5.284999847,0.20581862,0.7959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Plausible,item49,The butcher cut the man some beef.,beef,19.71,3.003,0.656505808,0.3211323,0.0608,man,1845.75,4.974,-2.257849455,0.23100561,0.3528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Plausible,item50,The girl owed her sister a dollar.,dollar,27.65,3.15,1.024166256,0.37131444,0.0765,sister,180.53,3.964,-3.044277966,0.21482152,0.5466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item1,The teacher gave the toy a girl.,girl,557.12,4.454,-2.528136611,0.176041,0.1423,toy,16.84,2.934,-1.547005624,0.17559512,0.3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item2,The grandmother gifted the bicycle a boy.,boy,529.82,4.432,-0.492547002,0.23425655,0.1644,bicycle,6.61,2.529,-5.556447029,0.09359523,0.5349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item3,The guide showed the sculpture a visitor.,visitor,8.75,2.65,-2.722858429,0.13387981,0.113,sculpture,3.12,2.204,-2.251351357,0.1938589,0.4752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item4,The engineer bought the snack a student.,student,43.04,3.342,-3.7579602,0.16701074,0.1782,snack,9.14,2.669,-1.012006819,0.23029125,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item5,The judge awarded the prize the performer.,performer,2.41,2.093,-1.371787816,0.2560217,0.0812,prize,22.39,3.058,5.327179193,0.5854908,0.1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item6,The doctor prescribed the medicine the patient.,patient,63.65,3.511,2.167250156,0.41152808,0.1185,medicine,34.2,3.242,0.47692816,0.34137273,0.3935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item7,The chef cooked the steak the family.,family,354.25,4.257,-4.628546953,0.17004853,0.179,steak,16.24,2.919,7.13629508,0.6242747,0.2636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item8,Her friend told the secret the boss.,boss,124.29,3.802,-0.942449853,0.3373203,0.0527,secret,109.51,3.747,0.778091609,0.3393089,0.6123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item9,The poet sent the book the refugee.,refugee,1.92,1.996,-0.702451468,0.25804558,0.0453,book,176.98,3.955,-0.931953281,0.18891108,0.6101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item10,The clerk refused the pizza the man.,man,1845.75,4.974,-1.945094109,0.20571114,0.1425,pizza,33.51,3.233,-4.590270758,0.118378244,0.3577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item11,The teacher assigned the homework the student.,student,43.04,3.342,-0.925543129,0.2735025,0.0367,homework,20.14,3.012,-2.382140577,0.19228318,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item12,The librarian loaned the book the patron.,patron,3.1,2.201,-8.45026207,0.15842654,0.0524,book,176.98,3.955,-5.125549793,0.09101409,0.4821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item13,The musician played the song an audience.,audience,25.37,3.112,-2.98735863,0.20153686,0.2033,song,93.69,3.679,-1.055000365,0.20169123,0.5796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item14,The lady served the coffee the customer.,customer,15.2,2.89,-2.159714103,0.19479218,0.1482,coffee,144.53,3.868,-1.219949126,0.21032113,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item15,The trainer taught the exercise an athlete.,athlete,4.61,2.373,-3.311947465,0.23296404,0.121,exercise,17.73,2.957,-1.821266949,0.20426789,0.5521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item16,The artist drew the sketch a subject.  ,subject,36.96,3.276,-2.518607259,0.268782,0.1966,sketch,4.94,2.403,-0.294828832,0.32839507,0.3988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item17,The carpenter built the table a widow.  ,widow,12.1,2.791,-3.326023102,0.16946682,0.0436,table,105.63,3.731,-4.376855612,0.099275276,0.5173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item18,The chef baked the cake a grandmother. ,grandmother,27.78,3.152,-4.374368548,0.23587516,0.0932,cake,45.06,3.361,7.437645912,0.7011122,0.2376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item19,The officer read the report the judge.,judge,79.67,3.609,-3.939606428,0.2041465,0.2865,report,108,3.741,-2.050227702,0.18855971,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item20,The woman left the keys her sister.,sister,180.53,3.964,-2.796482265,0.20095237,0.057,keys,51,3.415,-1.497517377,0.17170458,0.5053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item21,The athlete asked her question a coach.,coach,47.63,3.386,-1.558341682,0.1936804,0.0784,question,198.35,4.005,1.219405651,0.47761157,0.3317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item22,The teacher ordered the textbook a student.,student,43.04,3.342,-5.162651539,0.17130847,0.0935,textbook,2.2,2.053,-5.359880209,0.1169191,0.4275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item23,The artist crafted the necklace a bride.,bride,24.22,3.092,-2.529204369,0.24204569,0.1284,necklace,9.75,2.697,0.996924013,0.35130832,0.4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item24,The tailor shipped the suit a customer.,customer,15.2,2.89,0.885582715,0.2897156,0.132,suit,68.61,3.544,-4.212168574,0.119225495,0.5206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item25,The artist made the sculpture a patron.,patron,3.1,2.201,-2.711590827,0.13875194,0.2285,sculpture,3.12,2.204,-1.602049112,0.19511887,0.4161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item26,The kids poured the juice some customers.,customers,19.06,2.988,-1.447311699,0.21453771,0.228,juice,26.88,3.137,2.320960879,0.3821618,0.1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item27,The nurse administered the vaccine a patient.,patient,63.65,3.511,0.772582483,0.31437263,0.1873,vaccine,1.92,1.996,0.695181862,0.25751436,0.1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item28,The clerk counted the change the customer.,customer,15.2,2.89,-2.930192947,0.16867222,0.1334,change,240.35,4.088,-3.417589188,0.28851232,0.4025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item29,The teacher distributed the assignments the students.,students,30.67,3.195,-1.531471848,0.16530342,0.076,assignments,3.53,2.258,-3.777927637,0.19718131,0.4305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item30,The host offered the drinks the guest.,guest,39.94,3.309,-1.715102404,0.29163226,0.0911,drink,247.39,4.101,-2.148403704,0.20823543,0.4335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item31,The neighbor lent his vacuum a friend.,friend,419.29,4.33,-1.761587501,0.22061375,0.0228,vacuum,5.76,2.47,-5.969734192,0.06923539,0.5855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item32,The agent sold the estate a couple.,couple,223.41,4.057,-0.717859522,0.21933693,0.1973,estate,21.1,3.032,2.728018403,0.41377455,0.6097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item33,The clerk passed the receipt a customer.,customer,15.2,2.89,-3.988669157,0.12240852,0.1659,receipt,7.43,2.58,-1.927469611,0.2505622,0.4483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item34,The committee granted the award a student.,student,43.04,3.342,-3.358715296,0.18143669,0.0651,award,12.88,2.818,-1.536207318,0.24589711,0.3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item35,The parent promised the toy a child. ,child,157.65,3.905,-1.927890658,0.27533844,0.1755,toy,16.84,2.934,-3.910541773,0.14450218,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item36,The salesman guaranteed the discount a customer.,customer,15.2,2.89,0.192976475,0.3143221,0.1777,discount,4.76,2.387,0.696204782,0.32644448,0.2743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item37,The playwright wrote the script a director.,director,35.96,3.264,-0.423550084,0.2938603,0.2537,script,19.61,3,2.478390515,0.37793136,0.3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item38,The tenant paid the rent the landlord.,landlord,5.33,2.436,0.153964758,0.27277127,0.1992,rent,34.55,3.246,4.144936681,0.49835482,0.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item39,The company donated the computers the school.,school,333.12,4.23,-1.21446602,0.15373154,0.088,computers,10.8,2.742,-1.643707395,0.17772879,0.3657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item40,The manager denied the request the customer.,customer,15.2,2.89,-4.064874649,0.21958527,0.041,request,25.57,3.116,0.098058224,0.39707536,0.5115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item41,The server handed the coffee the customer. ,customer,15.2,2.89,-2.908742309,0.17306414,0.2711,coffee,144.53,3.868,-5.221402168,0.09830121,0.5308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item42,The doctor suggested the diet a client.,client,53.24,3.434,-3.564224362,0.17060752,0.1353,diet,15.37,2.895,-0.992711961,0.20828924,0.3953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item43,The ranger tossed the snacks a group.,group,73.76,3.575,-6.333028316,0.06468861,0.2127,snacks,3.39,2.24,0.365188435,0.32435638,0.3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item44,The winner delivered the speech the audience.,audience,25.37,3.112,-0.88917695,0.31153157,0.1459,speech,38.04,3.288,3.538706303,0.4886988,0.1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item45,The bank transferred some money a man.,man,1845.75,4.974,-4.057447076,0.13797435,0.18,money,640.76,4.514,-2.710824251,0.23216155,0.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item46,The farmer fed the grain some cows.,cows,9.41,2.682,1.199670613,0.28357756,0.0753,grain,4.76,2.387,0.554962307,0.28485283,0.4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item47,The player threw the ball an audience.,audience,25.37,3.112,-3.03658402,0.22474296,0.4313,ball,104.96,3.729,5.453100443,0.39869812,0.3793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item48,The father won his prize a son.,son,410.76,4.321,-5.284999847,0.20581862,0.3335,prize,22.39,3.058,2.944482803,0.3990231,0.1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item49,The butcher cut the beef some man.,man,1845.75,4.974,-2.257849455,0.23100561,0.0557,beef,19.71,3.003,0.656505808,0.3211323,0.1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,3_11,Implausible,item50,The girl owed her dollar a sister.,sister,180.53,3.964,-3.044277966,0.21482152,0.129,dollar,27.65,3.15,1.024166256,0.37131444,0.2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item1,The teacher gave the girl a toy.,toy,16.84,2.934,-1.547005624,0.17559512,0.0955,girl,557.12,4.454,-2.528136611,0.176041,0.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item2,The grandmother gifted the boy a bicycle.,bicycle,6.61,2.529,-5.556447029,0.09359523,0.0605,boy,529.82,4.432,-0.492547002,0.23425655,0.0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item3,The guide showed the visitor a sculpture.,sculpture,3.12,2.204,-2.251351357,0.1938589,0.064,visitor,8.75,2.65,-2.722858429,0.13387981,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item4,The engineer bought the student a snack.,snack,9.14,2.669,-1.012006819,0.23029125,0.0746,student,43.04,3.342,-3.7579602,0.16701074,0.0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item5,The judge awarded the performer the prize.,prize,22.39,3.058,5.327179193,0.5854908,0.3371,performer,2.41,2.093,-1.371787816,0.2560217,0.0152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item6,The doctor prescribed the patient the medicine.,medicine,34.2,3.242,0.47692816,0.34137273,0.0799,patient,63.65,3.511,2.167250156,0.41152808,0.0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item7,The chef cooked the family the steak.,steak,16.24,2.919,7.13629508,0.6242747,0.4043,family,354.25,4.257,-4.628546953,0.17004853,0.0737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item8,Her friend told the boss the secret.,secret,109.51,3.747,0.778091609,0.3393089,0.1419,boss,124.29,3.802,-0.942449853,0.3373203,0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item9,The poet sent the refugee a book.,book,176.98,3.955,-0.931953281,0.18891108,0.0276,refugee,1.92,1.996,-0.702451468,0.25804558,0.0315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item10,The clerk refused the man the pizza.,pizza,33.51,3.233,-4.590270758,0.118378244,0.0621,man,1845.75,4.974,-1.945094109,0.20571114,0.0397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item11,The teacher assigned the student some homework.,homework,20.14,3.012,-2.382140577,0.19228318,0.0316,student,43.04,3.342,-0.925543129,0.2735025,0.0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item12,The librarian loaned the patron the book.,book,176.98,3.955,-5.125549793,0.09101409,0.0757,patron,3.1,2.201,-8.45026207,0.15842654,0.0745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item13,The musician played the audience a song.,song,93.69,3.679,-1.055000365,0.20169123,0.1722,audience,25.37,3.112,-2.98735863,0.20153686,0.0946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item14,The lady served the customer the coffee.,coffee,144.53,3.868,-1.219949126,0.21032113,0.3015,customer,15.2,2.89,-2.159714103,0.19479218,0.1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item15,The trainer taught the athlete an exercise.,exercise,17.73,2.957,-1.821266949,0.20426789,0.0405,athlete,4.61,2.373,-3.311947465,0.23296404,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item16,The artist drew the subject a sketch.,sketch,4.94,2.403,-0.294828832,0.32839507,0.1709,subject,36.96,3.276,-2.518607259,0.268782,0.0477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item17,The carpenter built the widow a table.,table,105.63,3.731,-4.376855612,0.099275276,0.0704,widow,12.1,2.791,-3.326023102,0.16946682,0.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item18,The chef baked the grandmother a cake.,cake,45.06,3.361,7.437645912,0.7011122,0.2179,grandmother,27.78,3.152,-4.374368548,0.23587516,0.0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item19,The officer read the judge the report.,report,108,3.741,-2.050227702,0.18855971,0.1878,judge,79.67,3.609,-3.939606428,0.2041465,0.0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item20,The woman left her sister the keys.,keys,51,3.415,-1.497517377,0.17170458,0.0125,sister,180.53,3.964,-2.796482265,0.20095237,0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item21,The athlete asked her coach a question.,question,198.35,4.005,1.219405651,0.47761157,0.4264,coach,47.63,3.386,-1.558341682,0.1936804,0.0304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item22,The teacher ordered the student a textbook.,textbook,2.2,2.053,-5.359880209,0.1169191,0.0318,student,43.04,3.342,-5.162651539,0.17130847,0.0066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item23,The artist crafted the bride a necklace.,necklace,9.75,2.697,0.996924013,0.35130832,0.2705,bride,24.22,3.092,-2.529204369,0.24204569,0.0152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item24,The tailor shipped the customer a suit.,suit,68.61,3.544,-4.212168574,0.119225495,0.0822,customer,15.2,2.89,0.885582715,0.2897156,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item25,The artist made the patron a sculpture.,sculpture,3.12,2.204,-1.602049112,0.19511887,0.0257,patron,3.1,2.201,-2.711590827,0.13875194,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item26,The kids poured the customers some juice.,juice,26.88,3.137,2.320960879,0.3821618,0.3723,customers,19.06,2.988,-1.447311699,0.21453771,0.0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item27,The nurse administered the patient a vaccine.,vaccine,1.92,1.996,0.695181862,0.25751436,0.0838,patient,63.65,3.511,0.772582483,0.31437263,0.0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item28,The clerk counted the customer some change.,change,240.35,4.088,-3.417589188,0.28851232,0.0822,customer,15.2,2.89,-2.930192947,0.16867222,0.0387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item29,The teacher distributed the students the assignments.,assignments,3.53,2.258,-3.777927637,0.19718131,0.0721,students,30.67,3.195,-1.531471848,0.16530342,0.0253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item30,The host offered the guests a drink.,drink,247.39,4.101,-1.863897324,0.18127279,0.1323,guest,39.94,3.309,-0.634240657,0.27680382,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item31,The neighbor lent his friend a vacuum.,vacuum,5.76,2.47,-5.969734192,0.06923539,0.0851,friend,419.29,4.33,-1.761587501,0.22061375,0.0274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item32,The agent sold the couple an estate.,estate,21.1,3.032,2.728018403,0.41377455,0.1382,couple,223.41,4.057,-0.717859522,0.21933693,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item33,The clerk passed the customer a receipt.,receipt,7.43,2.58,-1.927469611,0.2505622,0.0666,customer,15.2,2.89,-3.988669157,0.12240852,0.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item34,The committee granted the student an award.,award,12.88,2.818,-1.536207318,0.24589711,0.1518,student,43.04,3.342,-3.358715296,0.18143669,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item35,The parent promised the child a toy.,toy,16.84,2.934,-3.910541773,0.14450218,0.0456,child,157.65,3.905,-1.927890658,0.27533844,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item36,The salesman guaranteed the customer a discount.,discount,4.76,2.387,0.696204782,0.32644448,0.0696,customer,15.2,2.89,0.192976475,0.3143221,0.0108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item37,The playwright wrote the director a script.,script,19.61,3,2.478390515,0.37793136,0.1093,director,35.96,3.264,-0.423550084,0.2938603,0.0211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item38,The tenant paid the landlord the rent.,rent,34.55,3.246,4.144936681,0.49835482,0.408,landlord,5.33,2.436,0.153964758,0.27277127,0.1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item39,The company donated the school the computers.,computers,10.8,2.742,-1.643707395,0.17772879,0.0844,school,333.12,4.23,-1.21446602,0.15373154,0.0214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item40,The manager denied the customer the request.,request,25.57,3.116,0.098058224,0.39707536,0.118,customer,15.2,2.89,-4.064874649,0.21958527,0.0184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item41,The server handed the customer the coffee.,coffee,144.53,3.868,-5.221402168,0.09830121,0.1006,customer,15.2,2.89,-2.908742309,0.17306414,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item42,The doctor suggested the client a diet.,diet,15.37,2.895,-0.992711961,0.20828924,0.0359,client,53.24,3.434,-3.564224362,0.17060752,0.0193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item43,The ranger tossed the group some snacks.,snacks,3.39,2.24,0.365188435,0.32435638,0.0673,group,73.76,3.575,-6.333028316,0.06468861,0.0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item44,The winner delivered the audience the speech.,speech,38.04,3.288,3.538706303,0.4886988,0.1232,audience,25.37,3.112,-0.88917695,0.31153157,0.0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item45,The bank transferred the man some money.,money,640.76,4.514,-2.710824251,0.23216155,0.1132,man,1845.75,4.974,-4.057447076,0.13797435,0.0209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item46,The farmer fed the cows some grain.,grain,4.76,2.387,0.554962307,0.28485283,0.098,cows,9.41,2.682,1.199670613,0.28357756,0.1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item47,The player threw the audience a ball.,ball,104.96,3.729,5.453100443,0.39869812,0.1971,audience,25.37,3.112,-3.03658402,0.22474296,0.0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item48,The father won his son a prize.,prize,22.39,3.058,2.944482803,0.3990231,0.1702,son,410.76,4.321,-5.284999847,0.20581862,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item49,The butcher cut the man some beef.,beef,19.71,3.003,0.656505808,0.3211323,0.2277,man,1845.75,4.974,-2.257849455,0.23100561,0.0349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Plausible,item50,The girl owed her sister a dollar.,dollar,27.65,3.15,1.024166256,0.37131444,0.2908,sister,180.53,3.964,-3.044277966,0.21482152,0.0242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Implausible,item1,The teacher gave the toy a girl.,girl,557.12,4.454,-2.528136611,0.176041,0.0341,toy,16.84,2.934,-1.547005624,0.17559512,0.2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Implausible,item2,The grandmother gifted the bicycle a boy.,boy,529.82,4.432,-0.492547002,0.23425655,0.0268,bicycle,6.61,2.529,-5.556447029,0.09359523,0.2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dobj,4_5,Implausible,item3,The guide showed the sculpture a visitor.,visitor,8.75,2.65,-2.722858429,0.13387981,0.02,sculpture,3.12,2.204,-2.251351357,0.1938589,0.1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
