dependency,head_number,Plausibility,sentence_pair,Sentence,Critical_Analysis,SUBTLWF,LgSUBTLWF,PMI_crit,Cosine_crit,Attention_Strength,Lure_Analysis,Lure_SUBTLWF,Lure_LgSUBTLWF,PMI_lure,Cosine_lure,Lure_attention_strength,baseline_attn,Baseline attn: From girl to initial 'the'
nsubjpass,4_30,Plausible,30,The schedule on the calendar was followed by the employees.,followed,34.1,3.24,-0.629204758,0.19830911,0.3078,followed,34.1,3.24,-1.459592372,0.22227617,0.0457,0.1158,
nsubjpass,4_30,Plausible,31,The training for the course was completed by the participants.,completed,7.67,2.593,0.709189713,0.34732875,0.4256,completed,7.67,2.593,-0.492308944,0.33517963,0.0576,0.2672,
nsubjpass,4_30,Plausible,32,The experiments on the animals were run by the professor.,run,350.55,4.252,-2.499854863,0.2201378,0.6693,run,350.55,4.252,-2.880971551,0.15660948,0.0103,0.2226,
nsubjpass,4_30,Plausible,33,The song about the picture was recorded by the artist.,recorded,8.41,2.634,3.224877954,0.39607632,0.6187,recorded,8.41,2.634,-4.300001979,0.17787802,0.0374,0.1905,
nsubjpass,4_30,Plausible,34,The application for the path was approved by the authorities.,approved,6.49,2.521,1.656418443,0.4588006,0.4819,approved,6.49,2.521,-4.57546854,0.15782003,0.0195,0.2778,
nsubjpass,4_30,Plausible,35,The issue with the plant was addressed by the management.,addressed,3.8,2.29,1.115344584,0.39524218,0.3682,addressed,3.8,2.29,-5.935268164,0.06661103,0.0151,0.3429,
nsubjpass,4_30,Plausible,36,The challenge with the image was overcome by the team.,overcome,6.2,2.501,-0.197928756,0.3913341,0.4752,overcome,6.2,2.501,-5.848684072,0.098132215,0.0121,0.3065,
nsubjpass,4_30,Plausible,37,The meeting on the calendar was held by the board.,held,42.45,3.336,2.37839663,0.43162015,0.5165,held,42.45,3.336,0.265789986,0.31585827,0.0492,0.1075,
nsubjpass,4_30,Plausible,38,The film about the flower was released by the studio.,released,17.29,2.946,2.257216632,0.30524936,0.5133,released,17.29,2.946,-2.064077914,0.1349667,0.0222,0.2899,
nsubjpass,4_30,Plausible,39,The campaign about the sign was led by the lawyer.,led,24.02,3.088,1.844052553,0.34471348,0.6027,led,24.02,3.088,-3.299617648,0.16837429,0.0078,0.1743,
nsubjpass,4_30,Plausible,40,The studies on the workers were published by the scholar.,published,7.2,2.566,0.971573561,0.3422577,0.5406,published,7.2,2.566,-1.552356064,0.17853999,0.0072,0.2923,
nsubjpass,4_30,Plausible,41,The lecture about the church was attended by the artist.,attended,3.88,2.299,1.054133087,0.31873864,0.3187,attended,3.88,2.299,-0.139024407,0.25270417,0.0262,0.189,
nsubjpass,4_30,Plausible,42,The road in the movie was named after the president.,named,69.88,3.552,-1.060781676,0.17523442,0.8378,named,69.88,3.552,-2.326065063,0.15276738,0.0042,0.0925,
nsubjpass,4_30,Plausible,43,The agreement about the bridge was approved by the government.,approved,6.49,2.521,2.49725008,0.44440135,0.6177,approved,6.49,2.521,-4.10890913,0.14151135,0.0159,0.2105,
nsubjpass,4_30,Plausible,44,The goal for the day was achieved by the runner.,achieved,4.29,2.342,0.729386412,0.38207316,0.3239,achieved,4.29,2.342,-2.847565651,0.24042706,0.0522,0.2144,
nsubjpass,4_30,Plausible,45,The novel about the mouse was read by the critics.,read,241.22,4.09,-0.858259261,0.29529935,0.5509,read,241.22,4.09,-3.223053336,0.16319716,0.0036,0.2842,
nsubjpass,4_30,Plausible,46,The formula on the sheet was used by the engineer.,used,344.14,4.244,0.70672465,0.16883348,0.4518,used,344.14,4.244,0.004650891,0.2678421,0.0212,0.0788,
nsubjpass,4_30,Plausible,47,The question about the table was answered by the expert.,answered,15.2,2.89,4.347020388,0.5924102,0.5905,answered,15.2,2.89,-4.179318786,0.13676152,0.0111,0.1604,
nsubjpass,4_30,Plausible,48,The stores with the games were managed by the owner.,managed,16.59,2.928,0.653263621,0.27393544,0.6121,managed,16.59,2.928,-1.154493183,0.18758693,0.0641,0.1303,
nsubjpass,4_30,Plausible,49,The investigation into the statement was conducted by the police.,conducted,3.2,2.215,3.662667155,0.39356682,0.3005,conducted,3.2,2.215,-2.484304309,0.28294176,0.0286,0.2387,
nsubjpass,4_30,Plausible,50,The date of the concert was considered by the committee.,considered,23.18,3.073,-3.738960862,0.18212901,0.222,considered,23.18,3.073,-3.252661824,0.17482209,0.0341,0.2226,
nsubjpass,4_30,Implausible,1,The book about the dog was walked by the audience.,walked,53.67,3.437,-3.750915587,0.12968236,0.1179,walked,53.67,3.437,0.025596678,0.28200492,0.0913,0.2166,
nsubjpass,4_30,Implausible,2,The dinner at the opera was heard by the guests.,heard,387.75,4.296,-1.934458733,0.29837796,0.2751,heard,387.75,4.296,-1.578631997,0.252676,0.0211,0.1776,
nsubjpass,4_30,Implausible,3,The song about the book was read by the band.,read,241.22,4.09,-3.018226385,0.20253298,0.2749,read,241.22,4.09,2.357256249,0.39943463,0.029,0.2379,
nsubjpass,4_30,Implausible,4,The painting inspired by music was heard by the museum.,heard,387.75,4.296,-3.983404279,0.19170071,0.206,heard,387.75,4.296,-1.044494808,0.30071142,0.0343,0.2602,
nsubjpass,4_30,Implausible,5,The report about the art was painted by the committee.,painted,13.92,2.852,-7.411674976,0.05629746,0.2176,painted,13.92,2.852,1.832779467,0.45462662,0.2337,0.3478,
nsubjpass,4_30,Implausible,6,The plans for the animals were fed by the students.,fed,15.88,2.909,-3.419217467,0.13421361,0.2112,fed,15.88,2.909,1.159857035,0.2671719,0.2324,0.3389,
nsubjpass,4_30,Implausible,7,The conversation about his arm was hurt by the man.,hurt,246.35,4.099,0.044816006,0.3571277,0.1628,hurt,246.35,4.099,-2.096510351,0.21888418,0.4863,0.0812,
nsubjpass,4_30,Implausible,8,The car in the musical was performed by the owner.,performed,7.31,2.573,-4.257829666,0.18909176,0.2997,performed,7.31,2.573,1.523341596,0.36900046,0.0907,0.1215,
nsubjpass,4_30,Implausible,9,The breakfast in the picture was drawn by the chef.,drawn,10.63,2.735,-7.187041283,0.06881361,0.3709,drawn,10.63,2.735,-1.681206763,0.22947736,0.0923,0.1597,
nsubjpass,4_30,Implausible,10,The movie about the tree was grown by the journalist.,grown,25,3.106,-3.947241306,0.15869763,0.0461,grown,25,3.106,2.448528789,0.34780985,0.4608,0.0834,
nsubjpass,4_30,Implausible,11,The game about the language was spoken by the children.,spoken,19.84,3.006,-6.025698662,0.120559834,0.0559,spoken,19.84,3.006,7.418732882,0.5541992,0.1094,0.052,
nsubjpass,4_30,Implausible,12,The software for the student was hurt at the university.,hurt,246.35,4.099,-6.503692389,0.09996191,0.3155,hurt,246.35,4.099,-2.971958756,0.1663816,0.0612,0.1531,
nsubjpass,4_30,Implausible,13,The house from the book was read by the agent.,read,241.22,4.09,-4.37697494,0.13063692,0.2201,read,241.22,4.09,2.357256249,0.39943463,0.0721,0.1148,
nsubjpass,4_30,Implausible,14,The clothes for the models were fired by the staff.,fired,61.94,3.5,-2.857650638,0.2503477,0.3269,fired,61.94,3.5,-4.59111166,0.12395492,0.0618,0.2001,
nsubjpass,4_30,Implausible,15,The photograph of the newspaper was written in the gallery.,written,44.06,3.352,-2.461410642,0.18761685,0.1247,written,44.06,3.352,-1.262032636,0.24839877,0.2947,0.2077,
nsubjpass,4_30,Implausible,16,The poster with the demand was cried by the students.,cried,12.98,2.821,-4.079244494,0.21817546,0.3077,cried,12.98,2.821,-5.118807316,0.24689654,0.1566,0.0798,
nsubjpass,4_30,Implausible,17,The prize from the race was run by the boy.,run,350.55,4.252,-3.269868493,0.17347832,0.4257,run,350.55,4.252,0.90825017,0.33840284,0.0815,0.1166,
nsubjpass,4_30,Implausible,18,The story about the animal was injured by the audience.,injured,10.47,2.728,-4.486585259,0.15592556,0.0988,injured,10.47,2.728,-2.350708187,0.16375214,0.5274,0.1007,
nsubjpass,4_30,Implausible,19,The advice for the game was played by the friend.,played,56.27,3.458,-5.487903833,0.13453409,0.3106,played,56.27,3.458,2.187565148,0.4189569,0.1306,0.139,
nsubjpass,4_30,Implausible,20,The garden in the book was read by the man.,read,241.22,4.09,-4.992098808,0.1762869,0.1154,read,241.22,4.09,2.357256249,0.39943463,0.0875,0.0916,
nsubjpass,4_30,Implausible,21,The poem for the woman was taught by the professor.,taught,43.84,3.35,-3.97467649,0.22748204,0.2687,taught,43.84,3.35,-2.134609401,0.24116494,0.0161,0.1781,
nsubjpass,4_30,Implausible,22,The chair for the boy was injured by the parents.,injured,10.47,2.728,-3.653625965,0.16644509,0.3919,injured,10.47,2.728,-0.824971586,0.2165631,0.1373,0.1344,
nsubjpass,4_30,Implausible,23,The decision about the art was painted by the team.,painted,13.92,2.852,-7.897333145,0.065955184,0.3077,painted,13.92,2.852,1.832779467,0.45462662,0.1997,0.2222,
nsubjpass,4_30,Implausible,24,The email about the garden was grown by the manager.,grown,25,3.106,-7.801894188,0.10976815,0.3108,grown,25,3.106,-0.464496568,0.32538202,0.1601,0.1306,
nsubjpass,4_30,Implausible,25,The plan regarding the bear was caught by the officer.,caught,93.94,3.68,-4.021384001,0.16407128,0.0805,caught,93.94,3.68,-2.971310258,0.13667674,0.6406,0.1315,
nsubjpass,4_30,Implausible,26,The event from the poster was torn by the guests.,torn,10.84,2.744,-5.334913492,0.11138317,0.0691,torn,10.84,2.744,-4.561306357,0.14768891,0.45,0.3316,
nsubjpass,4_30,Implausible,27,The story about the money was spent by the intern.,spent,70.08,3.553,-3.234798193,0.18295908,0.0411,spent,70.08,3.553,1.996313691,0.3598707,0.3077,0.0454,
nsubjpass,4_30,Implausible,28,The mystery surrounding the coat was worn by the author.,worn,10.08,2.712,-4.338881969,0.15375738,0.1694,worn,10.08,2.712,3.964575291,0.39669102,0.3733,0.0687,
nsubjpass,4_30,Implausible,29,The contract for the vehicle was driven by the manager.,driven,10.27,2.72,-6.405123234,0.12950942,0.2395,driven,10.27,2.72,1.891270936,0.38061005,0.0844,0.3404,
nsubjpass,4_30,Implausible,30,The schedule on the calendar was colored by the employees.,colored,7.39,2.578,-5.922017813,0.09493625,0.6835,colored,7.39,2.578,-4.127732992,0.1355259,0.09,0.0917,
nsubjpass,4_30,Implausible,31,The training for the course was taught by the participants.,taught,43.84,3.35,0.620173618,0.38389662,0.4485,taught,43.84,3.35,0.348165758,0.3710547,0.0687,0.1124,
nsubjpass,4_30,Implausible,32,The experiments on the animals were fed by the professor.,fed,15.88,2.909,-2.584660769,0.21007541,0.2391,fed,15.88,2.909,1.159857035,0.2671719,0.1747,0.294,
nsubjpass,4_30,Implausible,33,The song about the picture was drawn by the artist.,drawn,10.63,2.735,-2.147608817,0.18709257,0.294,drawn,10.63,2.735,-1.681206763,0.22947736,0.0593,0.3365,
nsubjpass,4_30,Implausible,34,The application for the path was walked by the authorities.,walked,53.67,3.437,-6.81812048,0.09328429,0.1462,walked,53.67,3.437,-1.233969063,0.27922055,0.0408,0.1777,
nsubjpass,4_30,Implausible,35,The issue with the plant was grown by the management.,grown,25,3.106,-4.324144721,0.13723353,0.4789,grown,25,3.106,2.82367301,0.35520008,0.1383,0.1154,
nsubjpass,4_30,Implausible,36,The challenge with the image was colored by the team.,colored,7.39,2.578,-4.968973398,0.1429857,0.2922,colored,7.39,2.578,-2.205908418,0.24420859,0.1023,0.0995,
nsubjpass,4_30,Implausible,37,The meeting on the calendar was drawn by the board.,drawn,10.63,2.735,-3.170592189,0.23193821,0.2356,drawn,10.63,2.735,-4.783598423,0.16633703,0.1729,0.1813,
nsubjpass,4_30,Implausible,38,The film about the flower was grown by the studio.,grown,25,3.106,-5.265855789,0.096375614,0.1056,grown,25,3.106,0.497132375,0.35314846,0.2718,0.1276,
nsubjpass,4_30,Implausible,39,The campaign about the sign was painted by the lawyer.,painted,13.92,2.852,-3.694064856,0.21808606,0.096,painted,13.92,2.852,-3.217876911,0.17540894,0.6171,0.1554,
nsubjpass,4_30,Implausible,40,The studies on the workers were fired by the scholar.,fired,61.94,3.5,-5.435335398,0.12842052,0.3532,fired,61.94,3.5,2.088902056,0.26757503,0.1384,0.1826,
nsubjpass,4_30,Implausible,41,The lecture about the church was painted by the artist.,painted,13.92,2.852,-4.951886415,0.1852738,0.3725,painted,13.92,2.852,-0.842834428,0.23078078,0.034,0.47,
nsubjpass,4_30,Implausible,42,The road in the movie was shot after the president.,shot,227.43,4.064,-3.139172673,0.22726326,0.2626,shot,227.43,4.064,2.215162039,0.40784937,0.1339,0.1142,
nsubjpass,4_30,Implausible,43,The agreement about the bridge was measured by the government.,measured,2.82,2.161,-3.518755436,0.16250715,0.2456,measured,2.82,2.161,-1.877419651,0.18914168,0.0479,0.2457,
nsubjpass,4_30,Implausible,44,The goal for the day was spent by the runner.,spent,70.08,3.553,-2.279578447,0.25351182,0.1767,spent,70.08,3.553,-0.010268979,0.26715237,0.2739,0.1459,
nsubjpass,4_30,Implausible,45,The novel about the mouse was caught by the critics.,caught,93.94,3.68,-2.810673088,0.16397397,0.1606,caught,93.94,3.68,-1.566106796,0.12973623,0.5127,0.1336,
nsubjpass,4_30,Implausible,46,The formula on the sheet was torn by the engineer.,torn,10.84,2.744,-8.378767252,-0.019519461,0.2622,torn,10.84,2.744,-1.130881473,0.212351,0.2881,0.1575,
nsubjpass,4_30,Implausible,47,The question about the table was moved by the expert.,moved,69.33,3.549,-3.392014503,0.17224412,0.6691,moved,69.33,3.549,-2.935305476,0.113203235,0.1456,0.0794,
nsubjpass,4_30,Implausible,48,The stores with the games were played by the owner.,played,56.27,3.458,-5.260597706,0.1712527,0.1287,played,56.27,3.458,3.803436637,0.39542624,0.1546,0.1724,
nsubjpass,4_30,Implausible,49,The investigation into the statement was spoken by the police.,spoken,19.84,3.006,-5.373295069,0.113850124,0.0159,spoken,19.84,3.006,-2.487261295,0.28117853,0.167,0.0379,
nsubjpass,4_30,Implausible,50,The date of the concert was performed by the committee.,performed,7.31,2.573,-3.2118119,0.17429288,0.2011,performed,7.31,2.573,5.117442846,0.5540761,0.2084,0.155,
nsubjpass,5_18,Plausible,1,The book about the dog was read by the audience.,read,241.22,4.09,2.357256249,0.39943463,0.2053,read,241.22,4.09,-3.71185565,0.20594248,0.0284,,
nsubjpass,5_18,Plausible,2,The dinner at the opera was enjoyed by the guests.,enjoyed,18.16,2.967,-1.406774908,0.28101742,0.2062,enjoyed,18.16,2.967,-1.934919953,0.16289692,0.0336,,
nsubjpass,5_18,Plausible,3,The song about the book was performed by the band.,performed,7.31,2.573,3.875476956,0.47057867,0.1345,performed,7.31,2.573,-2.442752227,0.17868897,0.01,,
nsubjpass,5_18,Plausible,4,The painting inspired by music was shown by the museum.,shown,14.18,2.86,-0.469084889,0.31653652,0.2452,shown,14.18,2.86,-4.459862471,0.13226202,0.0123,,
nsubjpass,5_18,Plausible,5,The report about the art was prepared by the committee.,prepared,35.78,3.261,-0.481373325,0.23323126,0.1126,prepared,35.78,3.261,-2.939223528,0.16789241,0.1383,,
nsubjpass,5_18,Plausible,6,The plans for the animals were studied by the students.,studied,11.31,2.762,-6.164853811,0.17553224,0.1031,studied,11.31,2.762,-1.306863084,0.20976229,0.0284,,
nsubjpass,5_18,Plausible,7,The conversation about his arm was understood by the man.,understood,32.14,3.215,-2.098032475,0.33983463,0.1965,understood,32.14,3.215,-6.583346367,0.12909682,0.0357,,
nsubjpass,5_18,Plausible,8,The car in the musical was driven by the owner.,driven,10.27,2.72,2.712220311,0.40973133,0.2352,driven,10.27,2.72,-3.738076925,0.15760681,0.0048,,
nsubjpass,5_18,Plausible,9,The breakfast in the picture was created by the chef.,created,23.43,3.078,-5.790030956,0.08843448,0.6427,created,23.43,3.078,-2.08083564,0.22212192,0.0419,,
nsubjpass,5_18,Plausible,10,The movie about the tree was addressed by the journalist.,addressed,3.8,2.29,-4.527954102,0.15057617,0.1482,addressed,3.8,2.29,-4.113108277,0.15371682,0.0151,,
nsubjpass,5_18,Plausible,11,The game about the language was played by the children.,played,56.27,3.458,2.187565148,0.4189569,0.1957,played,56.27,3.458,-5.551516056,0.09614844,0.067,,
nsubjpass,5_18,Plausible,12,The software for the student was used at the university.,used,344.14,4.244,-1.099933743,0.16318673,0.4099,used,344.14,4.244,-3.79123795,0.09360465,0.0763,,
nsubjpass,5_18,Plausible,13,The house from the book was sold by the agent.,sold,52.06,3.424,-0.349350512,0.2667114,0.2849,sold,52.06,3.424,-0.452893615,0.1665847,0.014,,
nsubjpass,5_18,Plausible,14,The clothes for the models were designed by the staff.,designed,17.53,2.952,-1.630409479,0.22362648,0.4928,designed,17.53,2.952,0.256386518,0.35069555,0.0244,,
nsubjpass,5_18,Plausible,15,The photograph of the newspaper was viewed in the gallery.,viewed,1.04,1.732,-2.464099646,0.27245793,0.0404,viewed,1.04,1.732,-3.703366637,0.17881054,0.024,,
nsubjpass,5_18,Plausible,16,The poster with the demand was appreciated by the students.,appreciated,5.73,2.467,-0.939570457,0.23672193,0.3581,appreciated,5.73,2.467,-4.249032259,0.22313076,0.0749,,
nsubjpass,5_18,Plausible,17,The prize from the race was opened by the boy.,opened,33.84,3.237,-6.935272932,0.17764705,0.3931,opened,33.84,3.237,-4.960103512,0.098343864,0.0431,,
nsubjpass,5_18,Plausible,18,The story about the animal was enjoyed by the audience.,enjoyed,18.16,2.967,-1.267718498,0.24328087,0.1799,enjoyed,18.16,2.967,-4.194565654,0.13217084,0.0729,,
nsubjpass,5_18,Plausible,19,The advice for the game was followed by the friend.,followed,34.1,3.24,-1.165606774,0.20234008,0.1672,followed,34.1,3.24,-1.880133212,0.21675272,0.0604,,
nsubjpass,5_18,Plausible,20,The garden in the book was loved by the man.,loved,110.33,3.75,-2.354789674,0.25157505,0.2489,loved,110.33,3.75,-0.112799406,0.2509044,0.0184,,
nsubjpass,5_18,Plausible,21,The poem for the woman was read by the professor.,read,241.22,4.09,-0.250354901,0.3339989,0.171,read,241.22,4.09,-3.988939285,0.2711282,0.0258,,
nsubjpass,5_18,Plausible,22,The chair for the boy was purchased by the parents.,purchased,3.73,2.281,-3.42681706,0.20020601,0.1799,purchased,3.73,2.281,-4.086781025,0.19446321,0.0533,,
nsubjpass,5_18,Plausible,23,The decision about the art was supported by the team.,supported,3.65,2.272,-0.653094724,0.30454266,0.2654,supported,3.65,2.272,-3.513635039,0.20212528,0.0556,,
nsubjpass,5_18,Plausible,24,The email about the garden was read by the manager.,read,241.22,4.09,-0.586372033,0.34792098,0.1346,read,241.22,4.09,-4.992098808,0.1762869,0.0148,,
nsubjpass,5_18,Plausible,25,The plan regarding the bear was implemented by the officer.,implemented,0.27,1.176,2.939709663,0.396322,0.3023,implemented,0.27,1.176,-6.001747131,0.119325034,0.0779,,
nsubjpass,5_18,Plausible,26,The event from the poster was attended by the guests.,attended,3.88,2.299,-0.718388934,0.25816378,0.2884,attended,3.88,2.299,-5.465961695,0.12727343,0.0504,,
nsubjpass,5_18,Plausible,27,The story about the money was remembered by the intern.,remembered,22.47,3.06,-1.582745761,0.28716573,0.1509,remembered,22.47,3.06,-4.662377834,0.21578732,0.0611,,
nsubjpass,5_18,Plausible,28,The mystery surrounding the coat was written by the author.,written,44.06,3.352,0.453535855,0.28433368,0.3495,written,44.06,3.352,-4.612068772,0.066415,0.0844,,
nsubjpass,5_18,Plausible,29,The contract for the vehicle was signed by the manager.,signed,36.06,3.265,8.062070131,0.7020264,0.1229,signed,36.06,3.265,-5.864618301,0.1544589,0.036,,
nsubjpass,5_18,Plausible,30,The schedule on the calendar was followed by the employees.,followed,34.1,3.24,-0.629204758,0.19830911,0.1926,followed,34.1,3.24,-1.459592372,0.22227617,0.0557,,
nsubjpass,5_18,Plausible,31,The training for the course was completed by the participants.,completed,7.67,2.593,0.709189713,0.34732875,0.2163,completed,7.67,2.593,-0.492308944,0.33517963,0.0257,,
nsubjpass,5_18,Plausible,32,The experiments on the animals were run by the professor.,run,350.55,4.252,-2.499854863,0.2201378,0.1528,run,350.55,4.252,-2.880971551,0.15660948,0.0836,,
nsubjpass,5_18,Plausible,33,The song about the picture was recorded by the artist.,recorded,8.41,2.634,3.224877954,0.39607632,0.2553,recorded,8.41,2.634,-4.300001979,0.17787802,0.0116,,
nsubjpass,5_18,Plausible,34,The application for the path was approved by the authorities.,approved,6.49,2.521,1.656418443,0.4588006,0.2135,approved,6.49,2.521,-4.57546854,0.15782003,0.1306,,
nsubjpass,5_18,Plausible,35,The issue with the plant was addressed by the management.,addressed,3.8,2.29,1.115344584,0.39524218,0.0979,addressed,3.8,2.29,-5.935268164,0.06661103,0.0199,,
nsubjpass,5_18,Plausible,36,The challenge with the image was overcome by the team.,overcome,6.2,2.501,-0.197928756,0.3913341,0.0753,overcome,6.2,2.501,-5.848684072,0.098132215,0.0363,,
nsubjpass,5_18,Plausible,37,The meeting on the calendar was held by the board.,held,42.45,3.336,2.37839663,0.43162015,0.2956,held,42.45,3.336,0.265789986,0.31585827,0.0882,,
nsubjpass,5_18,Plausible,38,The film about the flower was released by the studio.,released,17.29,2.946,2.257216632,0.30524936,0.224,released,17.29,2.946,-2.064077914,0.1349667,0.0123,,
nsubjpass,5_18,Plausible,39,The campaign about the sign was led by the lawyer.,led,24.02,3.088,1.844052553,0.34471348,0.0621,led,24.02,3.088,-3.299617648,0.16837429,0.0347,,
nsubjpass,5_18,Plausible,40,The studies on the workers were published by the scholar.,published,7.2,2.566,0.971573561,0.3422577,0.1302,published,7.2,2.566,-1.552356064,0.17853999,0.05,,
nsubjpass,5_18,Plausible,41,The lecture about the church was attended by the artist.,attended,3.88,2.299,1.054133087,0.31873864,0.1406,attended,3.88,2.299,-0.139024407,0.25270417,0.0465,,
nsubjpass,5_18,Plausible,42,The road in the movie was named after the president.,named,69.88,3.552,-1.060781676,0.17523442,0.3774,named,69.88,3.552,-2.326065063,0.15276738,0.0129,,
nsubjpass,5_18,Plausible,43,The agreement about the bridge was approved by the government.,approved,6.49,2.521,2.49725008,0.44440135,0.216,approved,6.49,2.521,-4.10890913,0.14151135,0.0283,,
nsubjpass,5_18,Plausible,44,The goal for the day was achieved by the runner.,achieved,4.29,2.342,0.729386412,0.38207316,0.2394,achieved,4.29,2.342,-2.847565651,0.24042706,0.0574,,
nsubjpass,5_18,Plausible,45,The novel about the mouse was read by the critics.,read,241.22,4.09,-0.858259261,0.29529935,0.1604,read,241.22,4.09,-3.223053336,0.16319716,0.0304,,
nsubjpass,5_18,Plausible,46,The formula on the sheet was used by the engineer.,used,344.14,4.244,0.70672465,0.16883348,0.2681,used,344.14,4.244,0.004650891,0.2678421,0.0594,,
nsubjpass,5_18,Plausible,47,The question about the table was answered by the expert.,answered,15.2,2.89,4.347020388,0.5924102,0.1388,answered,15.2,2.89,-4.179318786,0.13676152,0.0482,,
nsubjpass,5_18,Plausible,48,The stores with the games were managed by the owner.,managed,16.59,2.928,0.653263621,0.27393544,0.1856,managed,16.59,2.928,-1.154493183,0.18758693,0.0429,,
nsubjpass,5_18,Plausible,49,The investigation into the statement was conducted by the police.,conducted,3.2,2.215,3.662667155,0.39356682,0.0999,conducted,3.2,2.215,-2.484304309,0.28294176,0.1266,,
nsubjpass,5_18,Plausible,50,The date of the concert was considered by the committee.,considered,23.18,3.073,-3.738960862,0.18212901,0.1821,considered,23.18,3.073,-3.252661824,0.17482209,0.0238,,
nsubjpass,5_18,Implausible,1,The book about the dog was walked by the audience.,walked,53.67,3.437,-3.750915587,0.12968236,0.1487,walked,53.67,3.437,0.025596678,0.28200492,0.0507,,
nsubjpass,5_18,Implausible,2,The dinner at the opera was heard by the guests.,heard,387.75,4.296,-1.934458733,0.29837796,0.195,heard,387.75,4.296,-1.578631997,0.252676,0.0104,,
nsubjpass,5_18,Implausible,3,The song about the book was read by the band.,read,241.22,4.09,-3.018226385,0.20253298,0.2234,read,241.22,4.09,2.357256249,0.39943463,0.0238,,
nsubjpass,5_18,Implausible,4,The painting inspired by music was heard by the museum.,heard,387.75,4.296,-3.983404279,0.19170071,0.3507,heard,387.75,4.296,-1.044494808,0.30071142,0.0087,,
nsubjpass,5_18,Implausible,5,The report about the art was painted by the committee.,painted,13.92,2.852,-7.411674976,0.05629746,0.2189,painted,13.92,2.852,1.832779467,0.45462662,0.0964,,
nsubjpass,5_18,Implausible,6,The plans for the animals were fed by the students.,fed,15.88,2.909,-3.419217467,0.13421361,0.1735,fed,15.88,2.909,1.159857035,0.2671719,0.0183,,
nsubjpass,5_18,Implausible,7,The conversation about his arm was hurt by the man.,hurt,246.35,4.099,0.044816006,0.3571277,0.1969,hurt,246.35,4.099,-2.096510351,0.21888418,0.1264,,
nsubjpass,5_18,Implausible,8,The car in the musical was performed by the owner.,performed,7.31,2.573,-4.257829666,0.18909176,0.599,performed,7.31,2.573,1.523341596,0.36900046,0.0051,,
nsubjpass,5_18,Implausible,9,The breakfast in the picture was drawn by the chef.,drawn,10.63,2.735,-7.187041283,0.06881361,0.6384,drawn,10.63,2.735,-1.681206763,0.22947736,0.0217,,
nsubjpass,5_18,Implausible,10,The movie about the tree was grown by the journalist.,grown,25,3.106,-3.947241306,0.15869763,0.1943,grown,25,3.106,2.448528789,0.34780985,0.0845,,
nsubjpass,5_18,Implausible,11,The game about the language was spoken by the children.,spoken,19.84,3.006,-6.025698662,0.120559834,0.196,spoken,19.84,3.006,7.418732882,0.5541992,0.1325,,
nsubjpass,5_18,Implausible,12,The software for the student was hurt at the university.,hurt,246.35,4.099,-6.503692389,0.09996191,0.2783,hurt,246.35,4.099,-2.971958756,0.1663816,0.0332,,
nsubjpass,5_18,Implausible,13,The house from the book was read by the agent.,read,241.22,4.09,-4.37697494,0.13063692,0.5282,read,241.22,4.09,2.357256249,0.39943463,0.0083,,
nsubjpass,5_18,Implausible,14,The clothes for the models were fired by the staff.,fired,61.94,3.5,-2.857650638,0.2503477,0.3044,fired,61.94,3.5,-4.59111166,0.12395492,0.0121,,
nsubjpass,5_18,Implausible,15,The photograph of the newspaper was written in the gallery.,written,44.06,3.352,-2.461410642,0.18761685,0.2224,written,44.06,3.352,-1.262032636,0.24839877,0.0457,,
nsubjpass,5_18,Implausible,16,The poster with the demand was cried by the students.,cried,12.98,2.821,-4.079244494,0.21817546,0.1273,cried,12.98,2.821,-5.118807316,0.24689654,0.0645,,
nsubjpass,5_18,Implausible,17,The prize from the race was run by the boy.,run,350.55,4.252,-3.269868493,0.17347832,0.3222,run,350.55,4.252,0.90825017,0.33840284,0.025,,
nsubjpass,5_18,Implausible,18,The story about the animal was injured by the audience.,injured,10.47,2.728,-4.486585259,0.15592556,0.147,injured,10.47,2.728,-2.350708187,0.16375214,0.1747,,
nsubjpass,5_18,Implausible,19,The advice for the game was played by the friend.,played,56.27,3.458,-5.487903833,0.13453409,0.3087,played,56.27,3.458,2.187565148,0.4189569,0.0421,,
nsubjpass,5_18,Implausible,20,The garden in the book was read by the man.,read,241.22,4.09,-4.992098808,0.1762869,0.3901,read,241.22,4.09,2.357256249,0.39943463,0.0098,,
nsubjpass,5_18,Implausible,21,The poem for the woman was taught by the professor.,taught,43.84,3.35,-3.97467649,0.22748204,0.2365,taught,43.84,3.35,-2.134609401,0.24116494,0.0292,,
nsubjpass,5_18,Implausible,22,The chair for the boy was injured by the parents.,injured,10.47,2.728,-3.653625965,0.16644509,0.2524,injured,10.47,2.728,-0.824971586,0.2165631,0.0501,,
nsubjpass,5_18,Implausible,23,The decision about the art was painted by the team.,painted,13.92,2.852,-7.897333145,0.065955184,0.3254,painted,13.92,2.852,1.832779467,0.45462662,0.0752,,
nsubjpass,5_18,Implausible,24,The email about the garden was grown by the manager.,grown,25,3.106,-7.801894188,0.10976815,0.2383,grown,25,3.106,-0.464496568,0.32538202,0.023,,
nsubjpass,5_18,Implausible,25,The plan regarding the bear was caught by the officer.,caught,93.94,3.68,-4.021384001,0.16407128,0.3106,caught,93.94,3.68,-2.971310258,0.13667674,0.0793,,
